id,fecha,producto,precio,cantidad
1,2023-08-10,bokenEntrenamiento,416.94,8
2,2023-01-11,bokenEntrenamiento,1289.48,9
3,2023-12-21,katanaAcero,755.4100000000001,8
4,2023-12-13,shuriken,133.05,10
5,2023-12-05,shuriken,548.51,10
6,2026-01-21,tantoMadera,892.01,8
7,2026-01-20,shuriken,736.82,8
8,2023-01-01,nodachiElite,755.4100000000001,9
9,2023-02-26,katanaAcero,154.13,7
10,2023-10-18,katanaAcero,755.4100000000001,5
11,2026-01-21,shuriken,250.67,8
12,2023-05-11,tantoMadera,1382.19,8
13,2023-10-04,nodachiElite,1384.09,1
14,2023-12-31,bokenEntrenamiento,831.93,4
15,2023-10-07,kunaiHierro,397.95,2
16,2023-12-13,kunaiHierro,1051.74,4
17,2023-12-02,tantoMadera,1039.24,3
18,2023-12-02,shuriken,1498.94,4
19,2023-04-29,tantoMadera,1404.05,7
20,2023-11-28,shuriken,844.28,4
21,2026-01-20,katanaAcero,173.67,7
22,2026-01-21,bokenEntrenamiento,847.79,6
23,2023-04-23,katanaAcero,755.4100000000001,6
24,2026-01-20,katanaAcero,1324.39,4
25,2023-10-11,kunaiHierro,875.32,7
26,2023-07-08,nodachiElite,12.06,1
27,2023-07-20,bokenEntrenamiento,1393.91,7
28,2026-01-21,nodachiElite,887.97,9
29,2026-01-21,kunaiHierro,723.82,9
30,2023-08-11,shuriken,755.4100000000001,2
31,2023-12-11,katanaAcero,755.4100000000001,7
32,2026-01-21,bokenEntrenamiento,908.05,5
33,2023-06-28,katanaAcero,1436.54,10
34,2023-04-16,kunaiHierro,63.17,10
35,2026-01-21,tantoMadera,258.47,3
36,2023-10-22,kunaiHierro,567.94,9
37,2026-01-21,bokenEntrenamiento,1107.73,1
38,2023-10-17,kunaiHierro,905.5,10
39,2023-10-27,shuriken,109.92,4
40,2026-01-21,tantoMadera,267.03,5
41,2023-09-13,bokenEntrenamiento,1278.04,1
42,2023-04-25,tantoMadera,1048.22,3
43,2023-04-09,katanaAcero,161.2,8
44,2026-01-21,tantoMadera,973.44,8
45,2023-11-14,bokenEntrenamiento,1486.1,10
46,2023-07-23,kunaiHierro,43.68,3
47,2023-01-21,nodachiElite,1480.12,3
48,2026-01-21,kunaiHierro,1473.22,10
49,2023-06-19,tantoMadera,1375.33,6
50,2023-05-22,nodachiElite,751.16,9
51,2023-10-10,bokenEntrenamiento,180.89,8
52,2023-02-02,bokenEntrenamiento,238.99,4
53,2023-06-24,nodachiElite,755.4100000000001,4
54,2023-08-16,nodachiElite,825.52,9
55,2023-06-06,katanaAcero,755.4100000000001,1
56,2023-10-13,kunaiHierro,722.01,3
57,2026-01-21,tantoMadera,953.61,1
58,2023-01-24,tantoMadera,1373.67,10
59,2023-05-21,nodachiElite,1496.38,3
60,2023-06-18,tantoMadera,325.5,1
61,2023-01-25,shuriken,612.54,5
62,2026-01-21,katanaAcero,755.4100000000001,2
63,2023-07-06,katanaAcero,795.98,8
64,2023-10-14,tantoMadera,173.54,1
65,2023-07-31,nodachiElite,1289.86,4
66,2026-01-21,nodachiElite,603.88,5
67,2023-06-18,kunaiHierro,191.82,6
68,2023-10-11,katanaAcero,755.4100000000001,9
69,2026-01-21,tantoMadera,122.88,1
70,2023-10-11,tantoMadera,963.6,7
71,2023-08-04,bokenEntrenamiento,1409.43,2
72,2023-03-23,nodachiElite,256.2,8
73,2023-07-18,shuriken,292.96,6
74,2023-03-22,shuriken,1199.03,3
76,2023-07-12,nodachiElite,152.89,10
77,2023-12-16,shuriken,755.4100000000001,9
78,2023-06-23,nodachiElite,641.8,1
79,2023-04-21,katanaAcero,1193.87,6
80,2023-03-24,katanaAcero,337.21,1
81,2023-01-02,shuriken,1472.01,1
82,2023-08-16,nodachiElite,1234.29,8
83,2023-07-12,shuriken,869.44,3
84,2023-09-02,katanaAcero,911.97,9
85,2023-06-28,nodachiElite,414.89,5
86,2023-02-22,kunaiHierro,1319.25,7
87,2023-01-26,tantoMadera,1059.99,6
88,2023-03-25,tantoMadera,1238.42,4
89,2023-03-28,nodachiElite,442.59,6
90,2023-03-27,nodachiElite,1356.64,8
91,2023-12-09,bokenEntrenamiento,1437.74,9
