Nombre,Simbolo,Precio,MarketCap,Volumen_24h
CoinMarketCap 20 Index DTF,CMC20,139.12,0.0,0.0
Bitcoin,BTC,68085.64,0.0,0.0
Ethereum,ETH,2020.84,0.0,0.0
Tether,USDT,0.9992,0.0,0.0
BNB,BNB,635.01,0.0,0.0
XRP,XRP,1.38,0.0,0.0
USDC,USDC,0.9998,0.0,0.0
Solana,SOL,84.85,0.0,0.0
TRON,TRX,0.2742,0.0,0.0
Dogecoin,DOGE,0.09527,0.0,0.0
Bitcoin Cash,BCH,517.88,0.0,0.0
Cardano,ADA,0.2667,0.0,0.0
Hyperliquid,HYPE,32.7,0.0,0.0
UNUS SED LEO,LEO,7.62,0.0,0.0
Canton,CC,0.1718,0.0,0.0
Injective,INJ,3.16,0.0,0.0
Immutable,IMX,0.1589,0.0,0.0
Maple Finance,SYRUP,0.2722,0.0,0.0
Sun [New],SUN,0.01615,0.0,0.0
Gnosis,GNO,115.31,0.0,0.0
IOTA,IOTA,0.07031,0.0,0.0
Humanity Protocol,H,0.1246,0.0,0.0
Lido DAO,LDO,0.3488,0.0,0.0
FLOKI,FLOKI,3.092e-05,0.0,0.0
The Graph,GRT,0.02737,0.0,0.0
Aerodrome Finance,AERO,0.3184,0.0,0.0
Celestia,TIA,0.3297,0.0,0.0
Stable,STABLE,0.01625,0.0,0.0
Bitcoin SV,BSV,13.75,0.0,0.0
JasmyCoin,JASMY,0.005523,0.0,0.0
Rain,RAIN,0.008929,0.0,0.0
Falcon USD,USDf,0.9964,0.0,0.0
Jupiter Perps LP,JLP,3.67,0.0,0.0
Ondo US Dollar Yield,USDY,1.11,0.0,0.0
Beldex,BDX,0.08032,0.0,0.0
Usual USD,USD0,0.9987,0.0,0.0
GHO,GHO,0.9995,0.0,0.0
USDai,USDAI,0.9994,0.0,0.0
Fasttoken,FTN,1.09,0.0,0.0
c8ntinuum,CTM,0.08506,0.0,0.0
Legacy Frax Dollar,FRAX,0.9923,0.0,0.0
Undeads Games,UDS,2.14,0.0,0.0
CRYPGPT,CRYPGPT,10.35,0.0,0.0
Ultima,ULTIMA,5386.49,0.0,0.0
SwissBorg,BORG,0.197,0.0,0.0
VVS Finance,VVS,0.051521,0.0,0.0
Mog Coin,MOG,0.061695,0.0,0.0
InitVerse,INI,0.1211,0.0,0.0
XPR Network,XPR,0.002318,0.0,0.0
Request,REQ,0.08263,0.0,0.0
Numeraire,NMR,8.76,0.0,0.0
